date,user_id,amount,card
2017-01-01,176650,150,MasterCard
2017-01-01,123203,100,MasterCard
2017-01-01,128917,100,Visa
2017-01-01,309909,50,AMEX
2017-01-01,483614,150,Visa
2017-01-01,484909,100,Visa
2017-01-01,198866,200,Visa
2017-01-01,579893,150,MasterCard
2017-01-01,573863,150,AMEX
2017-01-01,328737,100,Visa
2017-01-01,325817,150,Visa
2017-01-01,306710,50,MasterCard
2017-01-01,36289,100,MasterCard
2017-01-01,544388,100,AMEX
2017-01-01,515618,50,MasterCard
2017-01-01,472262,100,Visa
2017-01-01,489271,100,AMEX
2017-01-01,92801,100,AMEX
2017-01-01,260133,200,Visa
2017-01-01,484032,150,Visa
2017-01-01,187906,150,AMEX
2017-01-01,486400,150,AMEX
2017-01-01,575137,100,MasterCard
2017-01-01,584637,200,Visa
2017-01-01,365124,200,AMEX
2017-01-01,177483,100,Visa
2017-01-01,341822,200,MasterCard
2017-01-01,477726,200,AMEX
2017-01-01,444481,200,Visa
2017-01-01,414816,200,MasterCard
2017-01-01,253691,50,Visa
2017-01-01,529459,200,Visa
2017-01-01,389033,150,AMEX
2017-01-01,553753,150,MasterCard
2017-01-01,374331,100,MasterCard
2017-01-01,159003,200,Visa
2017-01-01,383591,100,Visa
2017-01-01,421206,200,MasterCard
2017-01-01,108732,150,AMEX
2017-01-01,194872,50,AMEX
2017-01-01,498089,150,AMEX
2017-01-01,119568,100,MasterCard
2017-01-01,34209,150,MasterCard
2017-01-01,284429,100,MasterCard
2017-01-01,349329,50,Visa
2017-01-01,248422,50,MasterCard
2017-01-01,26596,150,AMEX
2017-01-01,571936,200,MasterCard
2017-01-01,47768,50,AMEX
2017-01-01,55900,150,Visa
2017-01-01,160887,100,AMEX
2017-01-01,421182,150,Visa
2017-01-01,517086,200,MasterCard
2017-01-01,202170,50,MasterCard
2017-01-01,254531,150,MasterCard
2017-01-01,201494,150,AMEX
2017-01-01,464949,200,AMEX
2017-01-01,503526,200,AMEX
2017-01-01,60296,100,AMEX
2017-01-01,527472,200,Visa
2017-01-01,482335,200,AMEX
2017-01-01,467108,50,MasterCard
2017-01-01,315433,200,AMEX
2017-01-01,57028,200,MasterCard
2017-01-01,413622,150,MasterCard
2017-01-01,202552,100,Visa
2017-01-01,234898,50,MasterCard
2017-01-01,399088,50,AMEX
2017-01-01,99215,50,Visa
2017-01-01,241152,50,AMEX
2017-01-01,198108,50,MasterCard
2017-01-01,104683,100,AMEX
2017-01-01,437313,200,MasterCard
2017-01-01,365557,50,AMEX
2017-01-01,307603,50,Visa
2017-01-01,167629,150,AMEX
2017-01-01,112761,100,Visa
2017-01-01,329777,100,AMEX
2017-01-01,387252,50,MasterCard
2017-01-01,231070,200,AMEX
2017-01-01,30443,50,Visa
2017-01-01,244710,50,Visa
2017-01-01,31513,150,AMEX
2017-01-01,575904,150,MasterCard
2017-01-01,387333,50,Visa
2017-01-01,298845,50,MasterCard
2017-01-01,78675,150,Visa
2017-01-01,314544,150,MasterCard
2017-01-01,100082,200,Visa
2017-01-01,311375,150,Visa
2017-01-01,352692,200,MasterCard
2017-01-01,386952,100,AMEX
2017-01-01,20056,150,Visa
2017-01-01,535460,100,MasterCard
2017-01-01,156894,100,Visa
2017-01-01,139709,150,MasterCard
2017-01-01,43215,50,AMEX
2017-01-01,274025,200,Visa
2017-01-01,561364,100,AMEX
2017-01-01,358141,50,Visa
2017-01-01,184202,50,MasterCard
2017-01-01,521228,200,MasterCard
2017-01-01,210,100,AMEX
2017-01-01,577863,150,Visa
2017-01-01,282193,200,AMEX
2017-01-01,474199,150,AMEX
2017-01-01,356216,200,AMEX
2017-01-01,475152,100,Visa
2017-01-01,162014,50,Visa
2017-01-01,427038,200,MasterCard
